[2581, 8, 2] [29, 89]
[2588, 8, 3] [-4, -647]
[2589, 8, 3] [-3, -863]
[2605, 4, 2] [5, 521]
[2629, 8, 3] [-11, -239]
[2636, 8, 3] [-4, -659]
[2641, 8, 3] [-19, -139]
[2648, 8, 3] [-8, -331]
[2649, 8, 3] [-3, -883]
[2653, 8, 3] [-7, -379]
[2661, 8, 3] [-3, -887]
[2669, 4, 2] [17, 157]
[2681, 8, 3] [-7, -383]
[2696, 4, 2] [8, 337]
[2701, 4, 2] [37, 73]
[2705, 4, 2] [5, 541]
[2721, 8, 3] [-3, -907]
[2732, 8, 3] [-4, -683]
[2733, 8, 3] [-3, -911]
[2757, 8, 3] [-3, -919]
[2761, 8, 3] [-11, -251]
[2764, 8, 3] [-4, -691]
[2773, 8, 3] [-47, -59]
[2776, 8, 3] [-8, -347]
[2785, 8, 2] [5, 557]
[2792, 8, 2] [8, 349]
[2813, 8, 2] [29, 97]
[2824, 4, 2] [8, 353]
[2841, 8, 3] [-3, -947]
[2845, 4, 2] [5, 569]
[2869, 8, 3] [-19, -151]
[2872, 8, 3] [-8, -359]
[2876, 8, 3] [-4, -719]
[2881, 8, 3] [-43, -67]
[2885, 8, 2] [5, 577]
[2893, 8, 3] [-11, -263]
[2901, 8, 3] [-3, -967]
[2908, 8, 3] [-4, -727]
[2913, 8, 3] [-3, -971]
[2921, 8, 3] [-23, -127]
[2929, 8, 2] [29, 101]
[2933, 8, 3] [-7, -419]
[2936, 8, 3] [-8, -367]
[2941, 8, 2] [17, 173]
[2949, 8, 3] [-3, -983]
[2956, 8, 3] [-4, -739]
[2965, 8, 2] [5, 593]
[2972, 8, 3] [-4, -743]
[2973, 8, 3] [-3, -991]
[2977, 8, 2] [13, 229]
[2981, 8, 3] [-11, -271]
[2984, 8, 2] [8, 373]
[2993, 4, 2] [41, 73]
[3004, 8, 3] [-4, -751]
[3005, 4, 2] [5, 601]
[3013, 8, 3] [-23, -131]
[3017, 8, 3] [-7, -431]
[3029, 4, 2] [13, 233]
[3032, 8, 3] [-8, -379]
[3053, 8, 3] [-43, -71]
[3057, 8, 3] [-3, -1019]
[3064, 8, 3] [-8, -383]
[3065, 8, 2] [5, 613]
[3073, 8, 3] [-7, -439]
[3077, 8, 2] [17, 181]
[3085, 8, 2] [5, 617]
[3093, 8, 3] [-3, -1031]
[3097, 8, 3] [-19, -163]
[3101, 8, 3] [-7, -443]
[3112, 8, 2] [8, 389]
[3113, 8, 3] [-11, -283]
[3117, 8, 3] [-3, -1039]
[3133, 8, 2] [13, 241]
[3148, 8, 3] [-4, -787]
