[3256, 16, 13] [-8, -11, 37]
[3260, 16, 13] [-4, 5, -163]
[3288, 16, 13] [-8, -3, 137]
[3289, 16, 13] [-11, 13, -23]
[3297, 16, 13] [-3, -7, 157]
[3304, 16, 13] [8, -7, -59]
[3320, 16, 11] [-8, 5, -83]
[3324, 16, 11] [-4, -3, 277]
[3333, 16, 11] [-3, -11, 101]
[3336, 16, 11] [8, -3, -139]
[3340, 16, 13] [-4, 5, -167]
[3345, 16, 11] [-3, 5, -223]
[3372, 16, 13] [-4, -3, 281]
[3404, 16, 13] [-4, -23, 37]
[3405, 16, 11] [-3, 5, -227]
[3416, 16, 11] [-8, -7, 61]
[3417, 16, 13] [-3, 17, -67]
[3441, 16, 13] [-3, -31, 37]
[3445, 16, 10] [5, 13, 53]
[3477, 16, 11] [-3, -19, 61]
[3484, 16, 13] [-4, 13, -67]
[3485, 16, 10] [5, 17, 41]
[3496, 16, 13] [8, -19, -23]
[3516, 16, 13] [-4, -3, 293]
[3553, 16, 13] [-11, 17, -19]
[3560, 16, 10] [8, 5, 89]
[3565, 16, 13] [5, -23, -31]
[3576, 16, 11] [-8, -3, 149]
[3580, 16, 11] [-4, 5, -179]
[3585, 16, 13] [-3, 5, -239]
[3596, 16, 13] [-4, 29, -31]
[3597, 16, 13] [-3, -11, 109]
[3605, 16, 11] [5, -7, -103]
[3608, 16, 13] [-8, -11, 41]
[3621, 16, 11] [-3, 17, -71]
[3624, 16, 13] [8, -3, -151]
[3633, 16, 11] [-3, -7, 173]
[3657, 16, 11] [-3, -23, 53]
[3685, 16, 13] [5, -11, -67]
[3689, 16, 11] [-7, 17, -31]
[3692, 16, 13] [-4, 13, -71]
[3729, 16, 13] [-3, -11, 113]
[3741, 16, 11] [-3, 29, -43]
[3745, 16, 11] [5, -7, -107]
[3752, 16, 13] [8, -7, -67]
[3756, 16, 11] [-4, -3, 313]
[3765, 16, 13] [-3, 5, -251]
[3768, 16, 13] [-8, -3, 157]
[3772, 16, 11] [-4, -23, 41]
[3784, 16, 11] [8, -11, -43]
[3801, 16, 13] [-3, -7, 181]
[3804, 16, 13] [-4, -3, 317]
[3813, 16, 13] [-3, -31, 41]
[3820, 16, 11] [-4, 5, -191]
